epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,1330.92,0.55136,0.46657,1.08761,0.7491,0.74211,0.7413,0.51951,0.96134,1.14452,1.57292,0.000141443,0.000141443,0.000141443
83,1347.17,0.52845,0.43745,1.06423,0.72797,0.77046,0.75021,0.52513,0.95242,1.12962,1.53008,0.000134375,0.000134375,0.000134375
84,1363.4,0.52878,0.43748,1.06042,0.70887,0.78923,0.74617,0.51866,0.95081,1.15302,1.52811,0.000127306,0.000127306,0.000127306
85,1379.7,0.53733,0.43487,1.06684,0.7417,0.74819,0.75379,0.53342,0.9578,1.13299,1.53787,0.000120238,0.000120238,0.000120238
86,1395.96,0.53637,0.43414,1.0654,0.73099,0.76806,0.73393,0.50796,0.96139,1.18226,1.54423,0.000113169,0.000113169,0.000113169
87,1412.25,0.52868,0.42254,1.0694,0.70327,0.77945,0.73327,0.5084,0.9754,1.19057,1.55498,0.0001061,0.0001061,0.0001061
88,1428.5,0.52638,0.43663,1.04992,0.73108,0.7722,0.74189,0.5199,0.9782,1.14456,1.58573,9.90318e-05,9.90318e-05,9.90318e-05
89,1444.73,0.50913,0.41936,1.05593,0.71279,0.76083,0.75738,0.52362,0.97431,1.13179,1.55796,9.19632e-05,9.19632e-05,9.19632e-05
90,1461.12,0.51979,0.43483,1.07033,0.68615,0.7907,0.7522,0.52429,0.96182,1.14451,1.5529,8.48946e-05,8.48946e-05,8.48946e-05
91,1478.19,0.46674,0.39023,1.06088,0.65563,0.83826,0.74487,0.51692,0.96682,1.12592,1.55719,7.7826e-05,7.7826e-05,7.7826e-05
92,1494.41,0.40653,0.31459,0.99462,0.70639,0.7924,0.74395,0.52407,0.95863,1.12132,1.55244,7.07574e-05,7.07574e-05,7.07574e-05
93,1510.62,0.39134,0.29525,0.96537,0.69478,0.78505,0.7424,0.51652,0.97608,1.12474,1.58116,6.36888e-05,6.36888e-05,6.36888e-05
94,1526.79,0.39374,0.32958,0.98035,0.72577,0.7862,0.74991,0.52265,0.95076,1.10309,1.54972,5.66202e-05,5.66202e-05,5.66202e-05
95,1542.99,0.39189,0.28717,0.97814,0.74296,0.75844,0.7453,0.52518,0.96256,1.13619,1.57959,4.95516e-05,4.95516e-05,4.95516e-05
96,1559.21,0.37264,0.28351,0.97251,0.73049,0.79086,0.75134,0.52847,0.95014,1.1165,1.56178,4.2483e-05,4.2483e-05,4.2483e-05
97,1575.39,0.3846,0.27456,0.97347,0.73273,0.78262,0.75274,0.53607,0.96129,1.13605,1.58014,3.54144e-05,3.54144e-05,3.54144e-05
98,1591.6,0.36798,0.27107,0.95489,0.74168,0.77844,0.7502,0.5358,0.93554,1.12479,1.55833,2.83458e-05,2.83458e-05,2.83458e-05
99,1607.76,0.37732,0.339,0.97721,0.74753,0.78504,0.74858,0.53483,0.92808,1.11206,1.54091,2.12772e-05,2.12772e-05,2.12772e-05
100,1623.93,0.38347,0.31184,0.98718,0.74048,0.7774,0.75092,0.53798,0.9412,1.10986,1.55198,1.42086e-05,1.42086e-05,1.42086e-05
